,City,County,Lat,Long,Radius,State,ZipCode,ZipScore,id,CountyScore
197,Atlanta,DeKalb County,33.92,-84.34,0.7386363636363636,Georgia,30346,96,13089,99
199,Atlanta,Fulton County,33.6,-84.5,9.0,Georgia,30349,83,13121,96
200,Atlanta,Fulton County,33.98,-84.32,4.0,Georgia,30350,8,13121,96
201,Atlanta,Fulton County,33.66,-84.4,3.0,Georgia,30354,42,13121,96
202,Atlanta,DeKalb County,33.93,-84.26,3.0,Georgia,30360,53,13089,99
204,Atlanta,Fulton County,33.792,-84.399,0.5681818181818182,Georgia,30363,25,13121,96
208,Swainsboro,Emanuel County,32.6,-82.4,16.0,Georgia,30401,44,13107,54
209,Ailey,Montgomery County,32.2,-82.5,8.0,Georgia,30410,21,13209,94
210,Alamo,Wheeler County,32.1,-82.8,11.0,Georgia,30411,96,13309,96
211,Bartow,Jefferson County,32.9,-82.5,10.0,Georgia,30413,58,13163,58
212,Brooklet,Bulloch County,32.4,-81.6,11.0,Georgia,30415,79,13031,84
213,Claxton,Evans County,32.2,-81.9,11.0,Georgia,30417,33,13109,33
214,Cobbtown,Tattnall County,32.26,-82.14,7.0,Georgia,30420,59,13267,79
215,Collins,Tattnall County,32.2,-82.1,8.0,Georgia,30421,79,13267,79
216,Garfield,Emanuel County,32.6,-82.0,12.0,Georgia,30425,9,13107,54
217,Girard,Burke County,33.0,-81.7,11.0,Georgia,30426,10,13033,51
218,Glennville,Tattnall County,31.9,-81.9,13.0,Georgia,30427,73,13267,79
219,Glenwood,Wheeler County,32.2,-82.7,20.0,Georgia,30428,71,13309,96
220,Louisville,Jefferson County,33.0,-82.4,15.0,Georgia,30434,38,13163,58
221,Lyons,Toombs County,32.2,-82.3,21.0,Georgia,30436,62,13279,62
222,Metter,Candler County,32.4,-82.1,12.0,Georgia,30439,74,13043,74
223,Midville,Emanuel County,32.8,-82.3,14.0,Georgia,30441,54,13107,54
224,Millen,Jenkins County,32.8,-82.0,14.0,Georgia,30442,26,13165,93
225,Mount Vernon,Montgomery County,32.2,-82.6,11.0,Georgia,30445,94,13209,94
226,Newington,Screven County,32.6,-81.5,8.0,Georgia,30446,17,13251,81
227,Portal,Bulloch County,32.56,-81.94,6.0,Georgia,30450,46,13031,84
228,Register,Bulloch County,32.3,-81.9,7.0,Georgia,30452,61,13031,84
229,Reidsville,Tattnall County,32.0,-82.1,10.0,Georgia,30453,2,13267,79
230,Rockledge,Laurens County,32.44,-82.73,6.0,Georgia,30454,64,13175,99
231,Rocky Ford,Screven County,32.7,-81.8,7.0,Georgia,30455,78,13251,81
232,Sardis,Burke County,33.0,-81.8,8.0,Georgia,30456,44,13033,51
233,Soperton,Treutlen County,32.4,-82.5,14.0,Georgia,30457,85,13283,85
234,Statesboro,Bulloch County,32.4,-81.9,13.0,Georgia,30458,84,13031,84
235,Statesboro,Bulloch County,32.5,-81.7,12.0,Georgia,30461,20,13031,84
236,Sylvania,Screven County,32.7,-81.6,20.0,Georgia,30467,81,13251,81
237,Tarrytown,Montgomery County,32.29,-82.51,6.0,Georgia,30470,27,13209,94
238,Twin City,Emanuel County,32.5,-82.1,15.0,Georgia,30471,17,13107,54
239,Uvalda,Montgomery County,32.0,-82.5,9.0,Georgia,30473,71,13209,94
240,Vidalia,Toombs County,32.2,-82.4,13.0,Georgia,30474,13,13279,62
241,Wadley,Jefferson County,32.9,-82.4,9.0,Georgia,30477,18,13163,58
242,Gainesville,Hall County,34.32,-83.81,5.0,Georgia,30501,59,13139,86
243,Gainesville,Hall County,34.27,-83.89,5.0,Georgia,30504,84,13139,86
244,Gainesville,Hall County,34.3,-83.9,12.0,Georgia,30506,86,13139,86
245,Gainesville,Hall County,34.3,-83.8,8.0,Georgia,30507,3,13139,86
246,Alto,Habersham County,34.45,-83.57,6.0,Georgia,30510,74,13137,74
247,Baldwin,Banks County,34.46,-83.47,6.0,Georgia,30511,82,13011,82
248,Blairsville,Union County,34.9,-84.0,14.0,Georgia,30512,23,13291,50
249,Blue Ridge,Fannin County,34.8,-84.3,16.0,Georgia,30513,60,13111,77
250,Bowersville,Hart County,34.38,-83.03,5.0,Georgia,30516,84,13147,84
251,Braselton,Jackson County,34.13,-83.79,5.0,Georgia,30517,79,13157,82
252,Buford,Gwinnett County,34.12,-84.01,6.0,Georgia,30518,97,13135,97
253,Buford,Gwinnett County,34.09,-83.94,6.0,Georgia,30519,5,13135,97
